year,births,rate
1910,2777000,30.1
1915,2965000,29.5
1920,2950000,27.7
1925,2909000,25.1
1930,2618000,21.3
1935,2377000,18.7
1940,2559000,19.4
1945,2858000,20.4
1950,3632000,24.1
1952,3913000,25.1
1953,3965000,25.1
1954,4078000,25.3
1955,4104000,25
1956,4218000,25.2
1957,4308000,25.3
1958,4255000,24.5
1959,4295000,24.3
1960,4257850,23.7
1961,4268326,23.3
1962,4167362,22.4
1963,4098020,21.7
1964,4027490,21
1965,3760358,19.4
1966,3606274,18.4
1967,3520959,17.8
1968,3501564,17.5
1969,3600206,17.8
1970,3731386,18.4
1971,3555970,17.2
1972,3258411,15.6
1973,3136965,14.9
1974,3159958,14.9
1975,3144198,14.8
1976,3167788,14.8
1977,3326632,15.4
1978,3333279,15.3
1979,3494398,15.9
1980,3612258,15.9
1982,3680537,15.9
1983,3638933,15.5
1984,3669141,15.5
1985,3760561,15.8
1986,3731000,15.5
1987,3829000,15.7
1988,3913000,15.9
1989,4021000,16.2
1990,4179000,16.7
1991,4111000,16.2
1992,4084000,16
1993,4039000,15.7
1994,3979000,15.3
1995,3892000,14.8
1996,3899000,14.7
1997,3882000,14.5
1998,3941553,14.6
1999,3959417,14.5
2000,4058814,14.7
2001,4025933,14.1
2002,4021726,13.9
2003,4089950,14.1
2004,4112052,14
2005,4138349,14
2009,4131019,13.8
